Row.names	MeanDecreaseAccuracy	MeanDecreaseGini	Rank_Gini_RF	s1	abs_coeff	Rank_absC_ENET	RankProd	RankProd_Rank
LOC107389361	-0.405302518213876	0.242127588157228	317	-0.046449222408299	0.046449222408299	162	51354	195
LOC107389470	2.63129515812343	0.572770524677066	57	-0.041910895184348	0.041910895184348	167	9519	90
LOC107389496	1.89724667421744	0.226315852901958	354	0	0	542.5	192045	415
LOC107389652	0.941246917542888	0.271373432981567	254	0	0	542.5	137795	345
LOC107389725	0.756835528862985	0.362649707792517	136	0	0	542.5	73780	250
LOC107389769	-0.343112930981693	0.202548030674217	431	0	0	542.5	233817.5	471
LOC107389855	1.14641662720072	0.123870413920697	761	0	0	542.5	412842.5	768
LOC107389901	-0.945328420917093	0.158844108655925	633	0	0	542.5	343402.5	650
LOC107389969	1.86539718581912	0.230154000331463	342	-0.001254241789757	0.001254241789757	255	87210	270
LOC107390002	2.63520428705201	0.402343763467849	112	-0.0859917268141521	0.0859917268141521	108	12096	100
LOC107390133	10.8707119699513	5.67913904187744	1	-0.616083551798422	0.616083551798422	4	4	2
LOC107390186	1.71224884936607	0.15641871496811	644	0	0	542.5	349370	660
LOC107390275	2.18492715081603	0.253639051960351	284	0	0	542.5	154070	365
LOC107390366	0.285812529535564	0.16366127532759	609	0	0	542.5	330382.5	628
LOC107390386	1.29095070612746	0.169231856649585	588	0	0	542.5	318990	608
LOC107390405	0.126899448720277	0.154210315609129	657	0	0	542.5	356422.5	671
LOC107390412	2.24006346924875	0.27732284746866	242	-0.0665591665561632	0.0665591665561632	134	32428	149
LOC107390413	2.76051399418822	0.394189712445768	116	-0.0330478950747767	0.0330478950747767	182	21112	130
LOC107390457	1.40308538524149	0.161624075961355	618	0	0	542.5	335265	636
LOC107390471	2.04326059388655	0.227371996420317	350	-0.0235873265944973	0.0235873265944973	205	71750	248
LOC107390541	1.15001946494492	0.148695138336198	674	0	0	542.5	365645	686
LOC107390586	0.0598095787308995	0.332172920772199	163	0	0	542.5	88427.5	273
LOC107390658	2.43663796807028	0.171788779274116	581	0	0	542.5	315192.5	601
LOC107390709	2.66243228889857	0.219884687600761	378	0	0	542.5	205065	434
LOC107390712	0.579523505476024	0.0655896856303917	826	0	0	542.5	448105	826
LOC107390723	1.31868467365093	0.254532838807371	280	0	0	542.5	151900	363
LOC107390734	3.0173072457516	0.19210098331311	487	0	0	542.5	264197.5	516
LOC107390816	-1.71308075865956	0.136120239883294	717	0	0	542.5	388972.5	726
LOC107390838	0.745877673511576	0.164542870559852	605	0	0	542.5	328212.5	624
LOC107390874	-0.425574970904142	0.1930158127157	483	0	0	542.5	262027.5	512
LOC107390968	-0.612859130033773	0.123734027430381	762	0.0284221167304688	0.0284221167304688	195	148590	358
LOC107391008	0.803211924169182	0.204110011778758	424	0	0	542.5	230020	465
LOC107391048	0.510066945519567	0.180182426728878	539	0	0	542.5	292407.5	564
LOC107391061	1.14728936202099	0.308621029369013	197	0.0813726408550092	0.0813726408550092	113	22261	133
LOC107391066	1.16950796726263	0.464875427543216	79	0	0	542.5	42857.5	170
LOC107391254	1.29628512980922	0.135020959925065	723	0	0	542.5	392227.5	732
LOC107391261	-1.50767265028313	0.180696655615702	536	0	0	542.5	290780	561
LOC107391262	0.803165275228206	0.220915051606191	373	0	0	542.5	202352.5	431
LOC107391288	1.00929714542615	0.142117169602097	695	0	0	542.5	377037.5	706
LOC107391329	1.66100799161173	0.194583202647586	471	0	0	542.5	255517.5	502
LOC107391375	1.31264832868811	0.110871407667362	787	0	0	542.5	426947.5	790
LOC107391393	-0.427166609885977	0.254842741828981	279	0	0	542.5	151357.5	362
LOC107391501	0.827035240472806	0.165718666034162	600	0	0	542.5	325500	620
LOC107391506	-0.289311818356738	0.220746867730542	374	0	0	542.5	202895	432
LOC107391568	-0.0544105170364666	0.105109138045631	799	0	0	542.5	433457.5	800
LOC107391584	3.39410339736141	0.43594212784323	90	0.314404247599544	0.314404247599544	13	1170	27
LOC107391624	0.801870964321907	0.133507233978672	726	0	0	542.5	393855	735
LOC107391680	1.18528519147916	0.219994247975334	377	0.0412837234906219	0.0412837234906219	169	63713	227
LOC107391811	2.37798437903971	0.64782666359426	48	-0.138522510776399	0.138522510776399	68	3264	51
LOC107392021	0.977377476988809	0.150592331136066	670	0.103800065997215	0.103800065997215	88	58960	222
LOC107392080	3.47547178718924	0.243666672480211	313	0	0	542.5	169802.5	388
LOC107392086	1.1009636128052	0.178861801720791	546	0	0	542.5	296205	571
