SampleID,Condition,Replicate,bamReads,bamControl,Peaks,PeakCaller
YM2,YM,2,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c1_Brain_ATACseq_YM2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YM3,YM,3,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c1_Brain_ATACseq_YM3.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OF4,OF,4,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c2_Brain_ATACseq_OF1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OF5,OF,5,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c2_Brain_ATACseq_OF2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OF6,OF,6,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c2_Brain_ATACseq_OF3.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OM4,OM,4,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c2_Brain_ATACseq_OM1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OM5,OM,5,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c2_Brain_ATACseq_OM2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
OM6,OM,6,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c2_Brain_ATACseq_OM3.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YF4,YF,4,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c2_Brain_ATACseq_YF1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YF5,YF,5,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c2_Brain_ATACseq_YF2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YF6,YF,6,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c2_Brain_ATACseq_YF3.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YM4,YM,4,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c2_Brain_ATACseq_YM1.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YM5,YM,5,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c2_Brain_ATACseq_YM2.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
YM6,YM,6,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/BAM_SORT/GRZ_c2_Brain_ATACseq_YM3.srt.bam,,/Volumes/BB_HQ_3/Brain_aging_Simons/ATAC/Bulk_ATAC_Analysis_Folder/MSPC/Killifish_Brain_ATAC_20minimum_ATAC_MSPC_ConsensusPeaks.CLEAN.bed,bed
